,doc_length
663,660
664,1753
665,2780
666,4941
667,2216
668,926
669,2373
670,4345
671,5956
672,1251
673,781
674,2750
675,3475
676,926
677,1659
678,2199
679,3548
680,974
681,1784
682,2439
683,1770
684,2584
685,1775
686,3043
687,6887
688,4392
689,2684
690,1831
691,1772
692,1042
693,592
694,2982
695,3391
696,4283
697,4324
698,1803
699,1800
700,974
701,3685
702,2512
703,237
704,3130
705,947
706,1661
707,2324
708,1970
709,3133
710,1720
711,1749
712,1214
713,4019
714,2088
715,2333
716,1058
717,814
718,989
719,726
720,8516
721,966
722,2835
723,3222
724,2239
725,2727
726,1306
727,1761
728,1730
729,2405
730,2870
731,863
732,1270
733,3926
734,2261
735,2140
736,3640
737,2239
738,1823
739,2045
740,5202
741,6026
742,1526
743,383
744,1746
745,2439
746,3852
747,708
748,5390
749,1358
750,1550
751,1640
752,3942
753,909
754,2516
755,1712
756,759
757,3193
758,2609
759,1943
760,1508
761,2495
762,4091
763,592
764,1246
765,996
766,3250
767,1770
768,4013
769,909
770,1794
771,2886
772,433
773,3473
774,782
775,1704
776,2340
777,2579
778,2000
779,3196
780,1893
781,3081
782,237
783,1776
784,2076
785,3148
786,790
787,2537
788,674
789,2294
790,790
791,3555
792,674
793,5286
794,3226
795,2045
796,1597
797,2366
798,3391
799,3877
800,3193
801,936
802,596
803,843
804,4421
805,1672
806,2132
807,823
808,4179
809,3369
810,1334
811,3018
812,970
813,4599
814,3144
815,930
816,1253
817,1844
818,174
819,2590
820,1441
821,1698
822,667
823,1751
824,254
825,2045
826,2505
827,2990
828,879
829,2254
830,1019
831,708
832,674
833,1347
834,2937
835,3540
836,2294
837,3196
838,1738
839,2388
840,3328
841,586
842,857
843,4034
844,989
845,1697
846,2837
847,708
848,573
849,1796
850,2474
851,6599
852,4275
853,2120
854,531
855,2199
856,1840
857,2234
858,6924
859,2453
860,2748
861,2676
862,3148
863,1018
864,1839
865,2972
866,3262
867,2405
868,1347
869,6143
870,1150
871,2491
872,3824
873,2872
874,592
875,2762
876,1011
877,1752
878,4169
879,1770
880,3754
881,2346
882,2583
883,863
884,3926
885,1256
886,2777
887,449
888,1654
889,1245
890,1148
891,3376
892,4117
893,3685
894,4091
895,2003
896,1358
897,3523
898,2406
899,3754
900,1390
901,1199
902,982
903,3429
904,2483
905,902
906,2715
907,4368
908,2682
909,735
910,3548
911,1000
912,1654
913,4065
914,2294
915,3748
916,3877
917,517
918,863
919,1024
920,839
921,2332
922,2681
923,2140
924,556
925,1342
926,730
927,757
928,2972
929,1390
930,805
931,3023
932,3340
933,1277
934,541
935,548
936,1661
937,4042
938,1457
939,3383
940,2537
941,1018
942,4324
943,1286
944,4079
945,2761
946,2261
947,2527
948,2480
949,2127
950,541
951,4962
952,556
953,2314
954,1273
955,1644
956,3226
957,3016
958,1900
959,1170
960,3931
961,4138
962,1925
963,4405
964,1925
965,1699
966,805
967,3383
968,594
969,5
970,2845
971,7687
972,3468
973,5972
974,2175
975,4076
976,1702
977,975
978,3444
979,1117
980,347
981,668
982,570
983,517
984,2077
985,587
986,674
987,3546
988,1796
989,5085
990,3485
991,2322
992,2088
993,2451
994,3095
995,1514
996,3494
997,3171
